"codsubcuenta","concepto","codcontrapartida","debe","haber","id","idasientopre","orden"
"629.A","Otros servicios exteriores","","B","","198","75","0"
"472.A","IVA soportado otros servicios","","C","","199","75","5"
"410.A","Acreedor otros servicios","","","Z","200","75","10"
"631.A","Tributos (IAE, IBI, tasas)","","B","","201","76","0"
"572.A","Pago tributos banco","","","B","202","76","5"
"4310.A","Efecto comercial recibido de cliente","","B","","203","77","0"
"430.A","Cancelación deuda cliente","","","B","204","77","5"
"5208.A","Deuda banco efecto descontado","","","B","205","77","10"
"6653.A","Intereses descuento efecto","","C","","206","77","15"
"572.A","Líquido recibido banco (nominal - intereses)","","Z","","207","77","20"
"572.A","Cobro efecto vencimiento banco","","B","","208","78","0"
"5208.A","Cancelación deuda banco descuento","","","B","209","78","5"
"4315.A","Efecto comercial impagado","","B","","210","79","0"
"4310.A","Cancelación efecto en cartera","","","B","211","79","5"
"626.A","Comisión bancaria impago","","C","","212","79","10"
"572.A","Cargo banco comisión e impago","","","Z","213","79","15"
"572.A","Salida cuenta origen","","B","","214","80","0"
"572.B","Entrada cuenta destino","","","B","215","80","5"
"565.A","Fianza o depósito constituido","","B","","216","81","0"
"572.A","Pago fianza banco","","","B","217","81","5"
"572.A","Devolución fianza cobrada banco","","B","","218","82","0"
"565.A","Cancelación fianza constituida","","","B","219","82","5"
"572.A","Cobro subvención capital banco","","B","","220","83","0"
"130.A","Subvención oficial de capital","","","B","221","83","5"
"840.A","Transferencia subvención capital a PyG","","B","","222","84","0"
"746.A","Subvención capital imputada resultado","","","B","223","84","5"
"572.A","Aportación socios banco","","B","","224","85","0"
"100.A","Capital social ampliado","","","B","225","85","5"
"572.A","Recepción préstamo socio banco","","B","","226","86","0"
"551.A","Cuenta corriente con socio","","","B","227","86","5"
"551.A","Devolución préstamo a socio","","B","","228","87","0"
"572.A","Pago devolución banco","","","B","229","87","5"
"601.A","Compra materias primas","","B","","230","88","0"
"472.A","IVA soportado materias primas","","C","","231","88","5"
"400.A","Proveedor acreedor","","","Z","232","88","10"
"310.A","Existencias iniciales mat. primas regularizadas","","","B","233","89","0"
"611.A","Variación existencias materias primas","","B","","234","89","5"
"350.A","Existencias iniciales prod. terminados regularizadas","","","B","235","90","0"
"712.A","Variación existencias productos terminados","","B","","236","90","5"
